3 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-03, Processors: 3
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
0 24.5949 4.55704 0.480855 1 92.309174 100.000000 92.220780 100.000000
1 20.2619 5.09505 1.91933 3 71.379031 100.000000 71.421483 100.000000
2 17.428 3.65693 2.64741 4 66.666667 99.825480 66.382930 99.883687
3 15.3061 2.66886 3.37782 5 53.446615 97.643979 53.500267 97.702821
4 13.2133 2.13058 4.0924 6 45.382037 96.160558 45.644706 95.347485
5 10.8931 2.51846 4.8255 7 39.671714 91.826643 40.426750 92.294272
6 9.33426 1.1719 5.5542 8 33.803414 87.085515 34.647683 87.699913
7 8.75664 0.875296 6.28745 9 31.553192 84.293194 32.326895 85.199186
8 7.89758 0.851361 7.01093 10 28.551613 80.337405 29.361020 81.913347
9 7.2986 1.54779 7.7407 11 27.129812 77.370564 28.128101 78.045944
10 6.79134 0.731165 8.45953 12 24.552075 72.949389 25.608825 74.469322
11 6.53794 0.545722 9.18341 13 23.723654 72.251309 24.677456 73.102646
12 6.07115 0.620008 9.90699 14 22.240203 69.488074 23.471257 72.055830
13 5.61836 0.849851 10.6594 15 21.107386 67.452007 22.436827 70.514685
14 5.27488 0.719247 11.3922 16 20.359881 65.968586 21.932972 69.845885
15 5.04474 0.389262 12.1122 17 19.273302 63.525305 20.829834 67.257924
16 4.83148 0.359632 12.8345 18 18.525797 61.256545 20.184747 65.077057
17 4.6575 0.385868 13.557 19 17.832235 59.104130 19.661806 63.652224
18 4.47584 0.760203 14.2919 20 17.477748 58.406050 19.932819 63.274208
19 4.26377 0.300092 15.0162 21 16.414287 55.293775 18.890755 60.802559
20 4.16419 0.247007 15.7533 22 16.086772 54.363002 18.512864 60.569933
