2 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-04, Processors: 2
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
0 24.5949 4.55704 0.685993 1 92.309174 100.000000 92.220780 100.000000
1 20.2607 5.09782 2.78068 3 71.379031 100.000000 71.421483 100.000000
2 17.4237 3.66112 3.86642 4 66.662814 99.825480 66.386747 99.883687
3 15.2976 2.67231 4.91775 5 53.442762 97.673066 53.515536 97.702821
4 13.197 2.13497 5.96941 6 45.397449 96.160558 45.663791 95.347485
5 10.856 2.52546 7.0408 7 39.702539 91.855730 40.445836 92.294272
6 9.27168 1.17401 8.09938 8 33.788001 87.056428 34.632415 87.641756
7 8.67999 0.877935 9.16475 9 31.518514 84.293194 32.300176 85.199186
8 7.80033 0.853367 10.2198 10 28.528494 80.453752 29.341934 81.942425
9 7.17584 1.5436 11.2738 11 27.133665 77.254218 28.105199 78.016865
10 6.65223 0.7331 12.3274 12 24.552075 72.833042 25.585923 74.411166
11 6.38958 0.544082 13.3829 13 23.646592 71.931355 24.627834 73.044490
12 5.89935 0.61694 14.4369 14 22.220938 69.342641 23.463623 72.055830
13 5.41367 0.845006 15.513 15 21.068855 67.219314 22.421559 70.485606
14 5.03634 0.723804 16.5698 16 20.398413 65.852240 22.039850 69.962198
15 4.78652 0.389523 17.6272 17 19.281008 63.699825 20.963432 67.345158
16 4.5562 0.364758 18.6841 18 18.560475 61.140198 20.177113 65.193370
17 4.35319 0.387833 19.7422 19 17.782145 58.871437 19.608367 63.477755
18 4.13935 0.711821 20.7998 20 17.608754 58.406050 20.028246 63.332364
19 3.88662 0.294441 21.8643 21 16.341078 55.119255 18.948011 61.035185
20 3.76659 0.243602 22.928 22 16.067507 54.333915 18.593022 60.715324
21 3.64562 0.382712 23.9927 23 15.894116 53.577661 18.451790 61.006106
22 3.53435 0.425622 25.0566 24 15.562748 53.083188 18.173143 60.104682
23 3.44749 0.246602 26.1324 25 15.135052 52.036067 17.837239 59.581274
24 3.31728 0.248114 27.2163 26 14.611028 50.407213 17.375372 57.952893
25 3.22642 0.245307 28.2836 27 14.375987 50.087260 17.131079 57.342251
26 3.14575 0.468833 29.3484 28 13.871229 48.051193 17.299030 56.237278
27 3.04395 0.180872 30.4318 29 13.347205 46.742292 16.715016 55.597557
28 2.98697 0.191303 31.5399 30 13.019689 46.160558 16.428735 54.608898
29 2.90394 0.252415 32.6218 31 12.784649 45.956952 16.318040 54.492585
30 2.88221 0.525151 33.7248 32 13.081339 45.811518 16.386747 53.911021
31 2.79534 0.176965 34.8185 33 12.526490 44.968005 15.966868 53.038674
32 2.76667 0.127418 35.9017 34 12.314569 44.648051 15.890526 53.009596
33 2.72436 0.173042 36.9851 35 12.164297 44.095404 15.913429 52.951439
34 2.66711 0.223547 38.0714 36 12.025585 43.979058 15.798916 52.951439
35 2.62216 0.202813 39.1545 37 11.979347 43.862711 16.035575 53.184065
36 2.58667 0.104757 40.2461 38 11.671098 42.815590 15.898160 52.893283
37 2.55326 0.142085 41.3478 39 11.432204 42.001163 15.711123 52.311719
38 2.51597 0.141247 42.4549 40 11.439911 41.623037 15.714940 51.904623
39 2.47721 0.190277 43.5582 41 11.416792 41.012216 15.627147 51.003199
40 2.4505 0.17307 44.6557 42 11.308905 41.012216 15.566074 50.799651
41 2.42923 0.112613 45.7618 43 11.073864 40.226876 15.474464 50.886886
42 2.40914 0.109213 46.8667 44 10.981389 40.255963 15.321780 50.712416
43 2.38505 0.208147 47.9692 45 10.881208 40.255963 15.401939 51.061355
44 2.35997 0.097341 49.079 46 10.650021 40.023269 15.176731 50.654260
45 2.34655 0.0874927 50.1762 47 10.522868 39.819663 15.142377 50.799651
46 2.32551 0.0987169 51.2852 48 10.526721 39.790576 15.104206 51.119511
47 2.31413 0.170599 52.3963 49 10.534428 39.470622 15.127109 50.479791
48 2.29552 0.0776341 53.5177 50 10.345625 39.267016 14.936255 50.363478
49 2.28507 0.0639616 54.586 51 10.241591 38.743455 14.928621 50.247165
50 2.2749 0.0807199 55.6686 52 10.176088 38.801629 14.875181 50.276243
51 2.26695 0.221755 56.7437 53 10.214619 38.917976 14.905718 50.421634
52 2.25195 0.0800493 57.8098 54 10.064347 38.656195 14.833193 50.276243
53 2.24283 0.0609804 58.9027 55 9.983432 38.510762 14.787388 50.218087
54 2.23488 0.0748072 59.9784 56 10.025816 38.452589 14.814108 50.247165
55 2.22165 0.101899 61.0455 57 9.906369 37.783595 14.802657 50.189008
56 2.21812 0.19131 62.1169 58 10.048935 38.103549 14.795023 49.752835
57 2.20298 0.0571676 63.2075 59 9.810041 37.056428 14.783571 50.014539
58 2.19781 0.0484414 64.2891 60 9.759951 37.201862 14.745400 49.810992
59 2.19039 0.0642768 65.3672 61 9.729126 37.318208 14.657607 49.607444
60 2.18489 0.168807 66.4554 62 9.756098 37.318208 14.726315 49.781913
61 2.17643 0.0724757 67.5417 63 9.713713 37.260035 14.653790 49.549288
62 2.17049 0.0473301 68.6158 64 9.659770 37.056428 14.684327 49.549288
63 2.1658 0.0563567 69.6905 65 9.582707 36.940081 14.676693 49.607444
64 2.15811 0.0621675 70.7726 66 9.478673 36.823735 14.508741 49.142192
65 2.15694 0.184458 71.8523 67 9.482526 36.823735 14.554546 49.171271
66 2.14468 0.0551163 72.9324 68 9.551882 37.027341 14.436217 48.880489
67 2.14063 0.0352702 74.0023 69 9.540323 37.114602 14.451485 48.764176
68 2.13557 0.0439559 75.0701 70 9.486379 36.969168 14.420948 48.880489
69 2.13043 0.0848231 76.1368 71 9.532617 36.969168 14.436217 48.851410
70 2.12488 0.0447805 77.2025 72 9.459407 36.765561 14.394229 49.025880
71 2.12136 0.0374566 78.2791 73 9.459407 36.620128 14.371326 48.880489
72 2.11749 0.0493719 79.3692 74 9.359226 36.649215 14.378960 48.909567
73 2.11428 0.0410389 80.437 75 9.309136 36.242001 14.359875 48.676941
74 2.11047 0.0375947 81.5215 76 9.232073 36.125654 14.466753 48.618785
75 2.10586 0.0847052 82.6141 77 9.043271 35.369401 14.371326 48.618785
76 2.10234 0.0529195 83.6918 78 9.008592 35.427574 14.447668 48.967723
77 2.10055 0.0261745 84.767 79 8.966208 35.340314 14.436217 48.880489
78 2.09892 0.0246182 85.8578 80 8.973914 35.514834 14.413314 48.764176
79 2.09586 0.0572502 86.9459 81 9.000886 35.514834 14.443851 48.822332
80 2.09259 0.0475911 88.0131 82 8.962355 35.398487 14.482022 49.142192
81 2.08974 0.0282412 89.0815 83 8.939236 35.282141 14.474387 49.054958
82 2.08664 0.0257726 90.1847 84 8.877586 35.165794 14.443851 48.938645
83 2.08498 0.0447506 91.2779 85 8.927677 34.991274 14.340789 48.735097
84 2.08279 0.026348 92.3452 86 8.869880 35.020361 14.344606 48.793254
85 2.07945 0.0266355 93.4312 87 8.819790 34.933101 14.398046 48.880489
86 2.07713 0.043477 94.5356 88 8.896852 35.136707 14.390411 48.851410
87 2.07473 0.0289934 95.6224 89 8.785112 34.787667 14.291167 48.502472
88 2.07291 0.0258701 96.7079 90 8.808230 34.787667 14.310253 48.735097
89 2.07077 0.0427742 97.7864 91 8.673371 34.438627 14.317887 48.589706
90 2.06925 0.0354436 98.8809 92 8.684930 34.525887 14.378960 48.851410
91 2.06808 0.0251866 99.9676 93 8.746580 34.642234 14.394229 48.967723
92 2.0661 0.0216315 101.055 94 8.735021 34.525887 14.375143 48.880489
93 2.06551 0.0489905 102.12 95 8.750433 34.351367 14.356058 48.909567
94 2.06441 0.0255587 103.199 96 8.758140 34.380454 14.386594 48.967723
95 2.06298 0.0182099 104.284 97 8.781258 34.438627 14.336972 48.706019
96 2.06202 0.0217991 105.364 98 8.731168 34.351367 14.329338 48.531550
97 2.06037 0.0333357 106.429 99 8.727315 34.496800 14.325521 48.618785
98 2.05968 0.0588396 107.51 100 8.684930 34.380454 14.268265 48.444315
99 2.05821 0.0167758 108.592 101 8.700343 34.554974 14.264448 48.444315
100 2.05767 0.0159541 109.674 102 8.700343 34.467714 14.287350 48.531550
101 2.05672 0.0207967 110.742 103 8.731168 34.496800 14.298801 48.589706
102 2.05563 0.0403769 111.821 104 8.708049 34.525887 14.272082 48.531550
103 2.05437 0.0207269 112.901 105 8.723462 34.700407 14.241545 48.415237
104 2.05365 0.0137302 113.972 106 8.684930 34.700407 14.222460 48.473393
105 2.05287 0.0167407 115.042 107 8.665665 34.729494 14.245362 48.444315
106 2.05227 0.0355079 116.15 108 8.773552 34.758581 14.302619 48.386159
107 2.05146 0.0184064 117.242 109 8.738874 34.671321 14.317887 48.473393
108 2.05053 0.0144718 118.323 110 8.704196 34.642234 14.298801 48.415237
109 2.04992 0.0162498 119.393 111 8.723462 34.671321 14.260631 48.444315
110 2.04935 0.0511276 120.483 112 8.677224 34.525887 14.191923 48.269846
111 2.04791 0.0162467 121.576 113 8.708049 34.758581 14.172838 48.328002
112 2.04742 0.0114902 122.655 114 8.708049 34.700407 14.176655 48.269846
113 2.04686 0.0173411 123.731 115 8.719609 34.787667 14.169021 48.298924
114 2.04652 0.038266 124.811 116 8.738874 34.729494 14.211008 48.328002
115 2.0459 0.0158658 125.889 117 8.700343 34.613147 14.149935 48.211689
116 2.04535 0.0127852 126.977 118 8.692637 34.584061 14.153752 48.240768
