[zhangx@login-2 CRF_TAO]$ mpirun -n 2 ./seq_train -data ./train.txt -tdata ./test.txt -lambda 1e-3 -loss IID -tol 1e-3
2 machines found
login-2.extreme.uic.edu
login-2.extreme.uic.edu
IID loss
Parsing training data: ./train.txt
Parsing test data: ./test.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train.txt
Test data: ./test.txt
loss: IID, lambda: 1.000000e-03, Processors: 2
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err
0 24.5949 4.51757 0.259464 1 92.309174 100.000000 92.220780 100.000000
1 20.3838 4.97532 0.687281 3 71.683428 100.000000 71.745935 100.000000
2 17.6704 3.53674 0.793315 4 67.556737 99.883653 67.318116 99.941844
3 15.7212 2.60525 0.897278 5 55.165106 98.283886 55.141614 98.255307
4 13.858 2.06517 1.1684 6 48.117751 97.207679 48.244141 96.888630
5 11.8215 2.43501 1.40405 7 43.459330 94.560791 43.999542 94.765920
6 10.527 1.11771 1.51042 8 37.968636 91.128563 38.556378 91.596394
7 10.0913 0.820058 1.6166 9 36.219320 89.470622 36.911215 90.375109
8 9.44112 0.820068 1.71968 10 33.210034 86.823735 34.380487 88.107008
9 9.10282 1.64436 1.82459 11 33.129118 86.474695 34.059852 86.827566
10 8.69891 0.656452 1.92768 12 30.763303 83.449680 31.758149 84.210526
11 8.5037 0.491315 2.03008 13 29.896351 82.257126 31.036720 83.221867
12 8.27558 0.581923 2.1325 14 28.867568 81.471786 30.006107 82.872928
13 7.94311 0.679346 2.23507 15 27.468886 80.075625 28.815177 81.942425
14 7.79192 1.03284 2.34063 16 27.152930 80.511926 28.666310 83.396336
15 7.53815 0.405092 2.44557 17 25.661773 77.748691 27.101305 80.546671
16 7.43989 0.349349 2.55086 18 25.530767 77.661431 27.005878 80.284967
17 7.32064 0.432357 2.65596 19 25.091512 76.934264 26.841744 79.441698
18 7.24021 0.611122 2.76115 20 24.995184 76.090750 27.017330 79.499855
