32 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-02, Processors: 32
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
0 24.5949 4.55704 0.250944 1 92.309174 100.000000 92.220780 100.000000
1 20.2739 5.06741 0.660986 3 71.379031 100.000000 71.425300 100.000000
2 17.4704 3.61542 0.960616 4 66.593457 99.825480 66.310405 99.883687
3 15.3901 2.63468 1.17777 5 53.300197 97.614892 53.347584 97.644664
4 13.3736 2.08734 1.40849 6 45.339652 96.160558 45.564547 95.318407
5 11.2459 2.44809 1.63306 7 39.586946 91.884817 40.327506 92.323350
6 9.9042 1.15227 1.9093 8 33.880476 87.347295 34.666768 87.874382
7 9.4286 0.853025 2.1273 9 31.745848 84.671321 32.502481 85.664437
8 8.70224 0.850156 2.37167 10 28.701884 80.744619 29.757997 82.465833
9 8.24265 1.4989 2.70055 11 27.314761 77.981385 28.242614 78.598430
10 7.83496 0.731001 3.00049 12 24.671522 73.414776 25.883655 74.963652
11 7.61961 0.551096 3.35425 13 23.931723 73.094823 25.108787 73.945915
12 7.28794 0.574942 3.59554 14 22.479097 70.215241 23.711734 72.259378
13 6.99802 0.789716 3.85578 15 21.585173 68.848168 22.852890 71.154405
14 6.78807 0.623107 4.16053 16 20.352175 66.550320 21.574166 69.293399
15 6.65733 0.357917 4.39235 17 19.731823 65.154159 21.112299 68.333818
16 6.52062 0.338078 4.67232 18 18.903402 62.332752 20.520650 66.908985
17 6.43613 0.487872 4.97803 19 18.683775 61.518325 20.360333 65.513231
18 6.32789 0.328913 5.21939 20 17.847648 59.191390 19.959539 64.001163
19 6.22654 0.231715 5.4593 21 17.385273 57.998837 19.524391 62.779878
20 6.15929 0.373875 5.67478 22 16.872809 56.835369 18.871670 61.994766
21 6.09691 0.22917 5.97123 23 16.776481 56.660849 18.841133 62.314626
22 6.05967 0.18115 6.20221 24 16.684006 56.253636 18.654096 61.558593
23 6.00906 0.227068 6.45319 25 16.502909 55.817336 18.325826 60.482698
24 5.98874 0.211529 7.02491 27 16.468231 55.439209 18.047179 59.784821
25 5.97055 0.144522 7.3272 28 16.267869 54.973822 18.035728 59.377726
26 5.94755 0.138849 7.62406 29 16.121450 54.392088 17.955569 58.883396
27 5.927 0.208628 7.86121 30 15.894116 54.159395 17.955569 58.796162
28 5.90612 0.140465 8.19268 31 15.624398 53.461315 17.699824 58.447223
29 5.89468 0.16575 8.43818 32 15.531923 53.025015 17.642568 57.894737
30 5.88704 0.0966432 8.78079 33 15.477979 52.879581 17.604397 57.807502
31 5.8795 0.0913159 9.08005 34 15.366239 52.734148 17.493702 57.836580
32 5.86986 0.1144 9.31756 35 15.350826 52.414194 17.413543 57.923815
33 5.86822 0.284654 9.56507 36 15.227527 51.919721 17.543324 57.981972
34 5.85767 0.0750318 9.88427 37 15.254499 51.832461 17.386823 57.778424
35 5.85542 0.0470989 10.1174 38 15.254499 51.716114 17.344835 57.603955
36 5.85268 0.059834 10.3923 39 15.173583 51.512507 17.295213 57.371329
37 5.84898 0.0645322 10.6243 40 15.162024 51.367074 17.356287 57.516720
38 5.84773 0.172028 10.9171 41 15.188995 51.250727 17.394458 57.225938
39 5.84266 0.0462959 11.1865 42 15.073402 51.076207 17.363921 57.255016
40 5.8415 0.0322726 11.4592 43 15.092668 51.134380 17.341018 57.167781
41 5.83999 0.0383303 11.76 44 15.073402 51.105294 17.283762 56.993312
42 5.83814 0.0543862 12.0204 45 15.046430 51.018034 17.215055 57.022390
43 5.83767 0.0877579 12.2666 46 14.996340 50.872600 17.165432 56.818843
44 5.83626 0.02632 12.5658 47 15.077255 50.988947 17.195969 57.080547
45 5.83587 0.0217495 12.8448 48 15.084961 50.988947 17.199786 57.051468
46 5.8351 0.0265253 13.203 49 14.984780 50.785340 17.150164 56.876999
47 5.83463 0.0535838 13.4541 50 14.996340 50.727167 17.157798 56.789764
48 5.83405 0.021009 13.7333 51 14.946249 50.698080 17.092908 56.731608
49 5.83377 0.0145827 14.0285 52 14.915424 50.523560 17.081457 56.644373
50 5.83352 0.0164362 14.2726 53 14.934690 50.552647 17.070005 56.673452
51 5.83309 0.022798 14.5076 54 14.896158 50.494474 17.054737 56.615295
52 5.83286 0.0232719 14.938 56 14.934690 50.639907 17.062371 56.644373
53 5.83263 0.0111792 15.1653 57 14.961661 50.639907 17.070005 56.702530
54 5.83248 0.0116656 15.4331 58 14.953955 50.610820 17.073822 56.789764
55 5.83234 0.018809 15.7063 59 14.957808 50.756254 17.070005 56.702530
56 5.83217 0.0116909 15.9695 60 14.946249 50.727167 17.050920 56.789764
57 5.83204 0.00928678 16.1965 61 14.961661 50.727167 17.066188 56.789764
58 5.83193 0.0121895 16.4382 62 14.934690 50.639907 17.077640 56.789764
59 5.83185 0.0114371 16.6599 63 14.946249 50.668994 17.070005 56.789764
60 5.83179 0.00690382 16.9794 64 14.950102 50.668994 17.066188 56.789764
61 5.83172 0.00649203 17.3407 65 14.965515 50.727167 17.047103 56.760686
62 5.83168 0.0103777 17.5761 66 14.946249 50.756254 17.070005 56.818843
63 5.83163 0.00688536 17.8129 67 14.957808 50.814427 17.062371 56.847921
64 5.83157 0.00667638 18.0482 68 14.961661 50.843514 17.020383 56.702530
65 5.83154 0.00771008 18.2935 69 14.965515 50.901687 17.054737 56.818843
66 5.83152 0.00476228 18.5895 70 14.961661 50.843514 17.047103 56.760686
67 5.83148 0.00447423 18.9154 71 14.984780 50.901687 17.031834 56.760686
68 5.83146 0.00637635 19.1518 72 14.977074 50.814427 17.031834 56.731608
69 5.83143 0.00504516 19.4015 73 14.961661 50.756254 17.028017 56.760686
70 5.83141 0.00557003 19.6883 74 14.961661 50.785340 17.031834 56.702530
71 5.8314 0.00279239 19.9133 75 14.961661 50.814427 17.058554 56.731608
72 5.83139 0.00238018 20.1782 76 14.961661 50.843514 17.073822 56.760686
73 5.83138 0.0034065 20.5131 77 14.950102 50.843514 17.058554 56.760686
74 5.83138 0.00697763 20.7415 78 14.957808 50.814427 17.050920 56.673452
75 5.83137 0.00223453 20.9924 79 14.953955 50.814427 17.070005 56.760686
76 5.83137 0.00137066 21.2577 80 14.969368 50.843514 17.058554 56.760686
77 5.83136 0.00169699 21.5244 81 14.953955 50.785340 17.054737 56.702530
78 5.83136 0.00243606 21.8222 82 14.957808 50.785340 17.070005 56.731608
79 5.83136 0.00545795 22.0647 83 14.950102 50.698080 17.092908 56.760686
80 5.83135 0.00119703 22.3171 84 14.957808 50.785340 17.092908 56.789764
81 5.83135 0.00109676 22.5818 85 14.961661 50.814427 17.092908 56.789764
82 5.83135 0.00137388 22.9002 86 14.950102 50.785340 17.077640 56.760686
83 5.83135 0.002017 23.3805 88 14.950102 50.785340 17.073822 56.760686
84 5.83134 0.00102596 23.6132 89 14.957808 50.814427 17.066188 56.760686
85 5.83134 0.000879135 23.8597 90 14.961661 50.814427 17.058554 56.731608
86 5.83134 0.00117144 24.0975 91 14.953955 50.814427 17.062371 56.731608
87 5.83134 0.000859529 24.3328 92 14.957808 50.814427 17.062371 56.731608
88 5.83134 0.00090602 24.5625 93 14.965515 50.814427 17.050920 56.760686
89 5.83134 0.00146326 24.8391 94 14.973221 50.814427 17.054737 56.760686
90 5.83134 0.000717392 25.1401 95 14.953955 50.814427 17.058554 56.760686
91 5.83134 0.000511623 25.4292 96 14.953955 50.814427 17.058554 56.760686
92 5.83134 0.000537912 25.6821 97 14.953955 50.814427 17.058554 56.760686
93 5.83134 0.000999727 26.1879 99 14.957808 50.814427 17.058554 56.731608
94 5.83134 0.000423699 26.4309 100 14.961661 50.814427 17.054737 56.731608
95 5.83134 0.000359924 26.7132 101 14.961661 50.814427 17.054737 56.731608
96 5.83134 0.000599563 27.0133 102 14.957808 50.814427 17.054737 56.731608
97 5.83134 0.00044756 27.2444 103 14.961661 50.814427 17.062371 56.760686
98 5.83134 0.00030252 27.5142 104 14.957808 50.814427 17.062371 56.760686
99 5.83134 0.000381017 27.869 105 14.953955 50.814427 17.062371 56.760686
100 5.83134 0.000434909 28.1013 106 14.953955 50.814427 17.062371 56.760686
101 5.83134 0.000229454 28.3398 107 14.961661 50.814427 17.070005 56.760686
102 5.83134 0.000186292 28.6454 108 14.961661 50.814427 17.070005 56.760686
103 5.83134 0.000232021 28.8768 109 14.957808 50.814427 17.070005 56.760686
104 5.83134 0.000626588 29.1816 110 14.961661 50.814427 17.070005 56.760686
105 5.83134 0.000144313 29.4162 111 14.957808 50.814427 17.070005 56.760686
106 5.83134 0.000125244 29.7117 112 14.957808 50.814427 17.070005 56.760686
107 5.83134 0.000129405 29.9495 113 14.961661 50.814427 17.070005 56.760686
108 5.83134 0.000418619 30.1977 114 14.961661 50.814427 17.070005 56.760686
109 5.83134 0.000125594 30.433 115 14.961661 50.814427 17.070005 56.760686
110 5.83134 8.35696e-05 30.6819 116 14.961661 50.814427 17.070005 56.760686
111 5.83134 9.79383e-05 30.9195 117 14.961661 50.814427 17.070005 56.760686
112 5.83134 0.000100385 31.1618 118 14.961661 50.814427 17.070005 56.760686
113 5.83134 0.000143714 31.6943 120 14.961661 50.814427 17.070005 56.760686
114 5.83134 6.98074e-05 31.9674 121 14.961661 50.814427 17.070005 56.760686
115 5.83134 5.83844e-05 32.3079 122 14.961661 50.814427 17.062371 56.760686
116 5.83134 0.000104439 32.5465 123 14.961661 50.814427 17.062371 56.760686
117 5.83134 9.09447e-05 32.836 124 14.961661 50.814427 17.062371 56.760686
