32 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-06, Processors: 32
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
0 24.5949 4.55704 0.295108 1 92.309174 100.000000 92.220780 100.000000
1 20.2606 5.09813 0.889129 3 71.379031 100.000000 71.425300 100.000000
2 17.4232 3.66158 1.22344 4 66.662814 99.825480 66.386747 99.883687
3 15.2967 2.67269 1.58657 5 53.442762 97.673066 53.519353 97.731899
4 13.1952 2.13545 1.94008 6 45.397449 96.160558 45.663791 95.347485
5 10.8519 2.52623 2.30157 7 39.702539 91.855730 40.445836 92.294272
6 9.26473 1.17424 2.70081 8 33.791855 87.056428 34.636232 87.641756
7 8.67143 0.878231 3.08745 9 31.510808 84.293194 32.296359 85.199186
8 7.78938 0.853622 3.49936 10 28.543906 80.453752 29.334300 81.942425
9 7.16182 1.54297 3.89785 11 27.122105 77.225131 28.097565 77.958709
10 6.63626 0.733388 4.26144 12 24.544369 72.803956 25.582106 74.411166
11 6.37242 0.543911 4.62164 13 23.650445 71.931355 24.616383 73.015411
12 5.87932 0.616423 5.00696 14 22.220938 69.342641 23.448355 72.055830
13 5.3895 0.844271 5.37684 15 21.072708 67.248400 22.436827 70.485606
14 5.00764 0.724032 5.75729 16 20.394559 65.881326 22.043667 70.020355
15 4.75536 0.389644 6.11886 17 19.311833 63.728912 20.967249 67.374237
16 4.52277 0.365313 6.50484 18 18.552768 61.111111 20.192381 65.193370
17 4.31565 0.389053 6.90052 19 17.762879 58.813264 19.619818 63.477755
18 4.10072 0.715677 7.28166 20 17.635726 58.260617 20.020612 63.390521
19 3.84427 0.306999 7.64991 21 16.344931 55.090169 19.043438 61.151498
20 3.72255 0.251746 8.02107 22 16.075213 54.421175 18.650279 60.889794
21 3.60594 0.373034 8.3912 23 15.859438 53.403141 18.627376 61.209654
22 3.48673 0.343748 8.75711 24 15.582014 52.879581 18.196045 60.162838
23 3.39356 0.258972 9.18522 25 15.208261 52.065154 17.875410 59.784821
