3 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-04, Processors: 3
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
0 24.5949 4.55704 0.484732 1 92.309174 100.000000 92.220780 100.000000
1 20.2607 5.09782 1.92733 3 71.379031 100.000000 71.421483 100.000000
2 17.4237 3.66112 2.64255 4 66.662814 99.825480 66.386747 99.883687
3 15.2976 2.67231 3.35738 5 53.442762 97.673066 53.515536 97.702821
4 13.197 2.13497 4.07177 6 45.397449 96.160558 45.663791 95.347485
5 10.856 2.52546 4.80085 7 39.702539 91.855730 40.445836 92.294272
6 9.27168 1.17401 5.51919 8 33.788001 87.056428 34.632415 87.641756
7 8.67999 0.877935 6.24041 9 31.518514 84.293194 32.300176 85.199186
8 7.80033 0.853367 6.96347 10 28.528494 80.453752 29.341934 81.942425
9 7.17584 1.5436 7.68694 11 27.133665 77.254218 28.105199 78.016865
10 6.65223 0.7331 8.40973 12 24.552075 72.833042 25.585923 74.411166
11 6.38958 0.544082 9.1288 13 23.646592 71.931355 24.627834 73.044490
12 5.89935 0.61694 9.85108 14 22.220938 69.342641 23.463623 72.055830
13 5.41367 0.845006 10.5709 15 21.068855 67.219314 22.421559 70.485606
14 5.03634 0.723804 11.2948 16 20.398413 65.852240 22.039850 69.962198
15 4.78652 0.389523 12.0309 17 19.281008 63.699825 20.963432 67.345158
16 4.5562 0.364758 12.7535 18 18.560475 61.140198 20.177113 65.193370
17 4.35319 0.387833 13.489 19 17.782145 58.871437 19.608367 63.477755
18 4.13935 0.711821 14.3094 20 17.608754 58.406050 20.028246 63.332364
19 3.88662 0.294441 15.0474 21 16.341078 55.119255 18.948011 61.035185
20 3.76659 0.243602 15.7779 22 16.067507 54.333915 18.593022 60.715324
21 3.64562 0.382712 16.5052 23 15.894116 53.577661 18.451790 61.006106
22 3.53435 0.425622 17.2273 24 15.562748 53.083188 18.173143 60.104682
23 3.44749 0.246602 17.9525 25 15.135052 52.036067 17.837239 59.581274
24 3.31728 0.248114 18.6737 26 14.611028 50.407213 17.375372 57.952893
25 3.22642 0.245307 19.4127 27 14.375987 50.087260 17.131079 57.342251
26 3.14575 0.468833 20.1422 28 13.871229 48.051193 17.299030 56.237278
27 3.04395 0.180872 20.8771 29 13.347205 46.742292 16.715016 55.597557
28 2.98697 0.191303 21.604 30 13.019689 46.160558 16.428735 54.608898
29 2.90394 0.252415 22.3278 31 12.784649 45.956952 16.318040 54.492585
30 2.88221 0.525151 23.0538 32 13.081339 45.811518 16.386747 53.911021
31 2.79534 0.176965 23.7849 33 12.526490 44.968005 15.966868 53.038674
32 2.76667 0.127418 24.5145 34 12.314569 44.648051 15.890526 53.009596
33 2.72436 0.173042 25.249 35 12.164297 44.095404 15.913429 52.951439
34 2.66711 0.223547 25.9774 36 12.025585 43.979058 15.798916 52.951439
35 2.62216 0.202813 26.7212 37 11.979347 43.862711 16.035575 53.184065
36 2.58667 0.104757 27.4611 38 11.671098 42.815590 15.898160 52.893283
37 2.55326 0.142085 28.1884 39 11.432204 42.001163 15.711123 52.311719
