1 machines found
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-04, Processors: 1
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
0 24.5949 4.55704 1.4507 1 92.309174 100.000000 92.220780 100.000000
1 20.2607 5.09782 5.90836 3 71.379031 100.000000 71.425300 100.000000
2 17.4237 3.66112 8.16287 4 66.662814 99.825480 66.386747 99.883687
3 15.2976 2.67231 10.3792 5 53.442762 97.673066 53.515536 97.702821
4 13.197 2.13497 12.6084 6 45.397449 96.160558 45.663791 95.347485
5 10.856 2.52546 14.8561 7 39.702539 91.855730 40.445836 92.294272
6 9.27168 1.17401 17.0795 8 33.788001 87.056428 34.632415 87.641756
7 8.67999 0.877935 19.2971 9 31.518514 84.293194 32.300176 85.199186
8 7.80033 0.853367 21.5243 10 28.528494 80.453752 29.341934 81.942425
9 7.17584 1.5436 23.7595 11 27.133665 77.254218 28.105199 78.016865
10 6.65223 0.7331 25.9833 12 24.552075 72.833042 25.585923 74.411166
11 6.38958 0.544082 28.2062 13 23.646592 71.931355 24.627834 73.044490
12 5.89935 0.61694 30.4434 14 22.220938 69.342641 23.463623 72.055830
13 5.41367 0.845006 32.6707 15 21.068855 67.219314 22.421559 70.485606
14 5.03634 0.723804 34.8945 16 20.398413 65.852240 22.039850 69.962198
15 4.78652 0.389523 37.1429 17 19.281008 63.699825 20.963432 67.345158
16 4.5562 0.364758 39.2765 18 18.560475 61.140198 20.177113 65.193370
17 4.35319 0.387833 41.4092 19 17.782145 58.871437 19.608367 63.477755
18 4.13935 0.711821 43.5306 20 17.608754 58.406050 20.028246 63.332364
19 3.88662 0.294441 45.6527 21 16.341078 55.119255 18.948011 61.035185
20 3.76659 0.243602 47.7783 22 16.067507 54.333915 18.593022 60.715324
21 3.64562 0.382712 49.9035 23 15.894116 53.577661 18.451790 61.006106
22 3.53435 0.425622 52.0313 24 15.562748 53.083188 18.173143 60.104682
23 3.44749 0.246602 54.1393 25 15.135052 52.036067 17.837239 59.581274
24 3.31728 0.248114 56.2455 26 14.611028 50.407213 17.375372 57.952893
25 3.22642 0.245307 58.35 27 14.375987 50.087260 17.131079 57.342251
26 3.14575 0.468833 60.4551 28 13.871229 48.051193 17.299030 56.237278
27 3.04395 0.180872 62.5586 29 13.347205 46.742292 16.715016 55.597557
28 2.98697 0.191303 64.6696 30 13.019689 46.160558 16.428735 54.608898
29 2.90394 0.252415 66.7739 31 12.784649 45.956952 16.318040 54.492585
30 2.88221 0.525151 68.8792 32 13.081339 45.811518 16.386747 53.911021
31 2.79534 0.176965 70.9827 33 12.526490 44.968005 15.966868 53.038674
32 2.76667 0.127418 73.0905 34 12.314569 44.648051 15.890526 53.009596
33 2.72436 0.173042 75.1956 35 12.164297 44.095404 15.913429 52.951439
34 2.66711 0.223547 77.3056 36 12.025585 43.979058 15.798916 52.951439
35 2.62216 0.202813 79.4127 37 11.979347 43.862711 16.035575 53.184065
36 2.58667 0.104757 81.5205 38 11.671098 42.815590 15.898160 52.893283
37 2.55326 0.142085 83.6277 39 11.432204 42.001163 15.711123 52.311719
38 2.51597 0.141247 85.7368 40 11.439911 41.623037 15.714940 51.904623
39 2.47721 0.190277 87.8423 41 11.416792 41.012216 15.627147 51.003199
40 2.4505 0.17307 89.952 42 11.308905 41.012216 15.566074 50.799651
41 2.42923 0.112613 92.0654 43 11.073864 40.226876 15.474464 50.886886
42 2.40914 0.109213 94.2049 44 10.981389 40.255963 15.321780 50.712416
43 2.38505 0.208147 96.336 45 10.881208 40.255963 15.401939 51.061355
44 2.35997 0.097341 98.461 46 10.650021 40.023269 15.176731 50.654260
45 2.34655 0.0874927 100.598 47 10.522868 39.819663 15.142377 50.799651
46 2.32551 0.0987169 102.729 48 10.526721 39.790576 15.104206 51.119511
47 2.31413 0.170599 104.839 49 10.534428 39.470622 15.127109 50.479791
48 2.29552 0.0776341 106.948 50 10.345625 39.267016 14.936255 50.363478
49 2.28507 0.0639616 109.058 51 10.241591 38.743455 14.928621 50.247165
50 2.2749 0.0807199 111.168 52 10.176088 38.801629 14.875181 50.276243
51 2.26695 0.221755 113.277 53 10.214619 38.917976 14.905718 50.421634
52 2.25195 0.0800493 115.385 54 10.064347 38.656195 14.833193 50.276243
53 2.24283 0.0609804 117.495 55 9.983432 38.510762 14.787388 50.218087
54 2.23488 0.0748072 119.619 56 10.025816 38.452589 14.814108 50.247165
55 2.22165 0.101899 121.758 57 9.906369 37.783595 14.802657 50.189008
56 2.21812 0.19131 123.882 58 10.048935 38.103549 14.795023 49.752835
57 2.20298 0.0571676 125.992 59 9.810041 37.056428 14.783571 50.014539
58 2.19781 0.0484414 128.103 60 9.759951 37.201862 14.745400 49.810992
59 2.19039 0.0642768 130.23 61 9.729126 37.318208 14.657607 49.607444
60 2.18489 0.168807 132.341 62 9.756098 37.318208 14.726315 49.781913
61 2.17643 0.0724757 134.45 63 9.713713 37.260035 14.653790 49.549288
62 2.17049 0.0473301 136.56 64 9.659770 37.056428 14.684327 49.549288
63 2.1658 0.0563567 138.677 65 9.582707 36.940081 14.676693 49.607444
64 2.15811 0.0621675 140.806 66 9.478673 36.823735 14.508741 49.142192
65 2.15694 0.184458 142.95 67 9.482526 36.823735 14.554546 49.171271
66 2.14468 0.0551163 145.088 68 9.551882 37.027341 14.436217 48.880489
67 2.14063 0.0352702 147.224 69 9.540323 37.114602 14.451485 48.764176
68 2.13557 0.0439559 149.363 70 9.486379 36.969168 14.420948 48.880489
69 2.13043 0.0848231 151.5 71 9.532617 36.969168 14.436217 48.851410
70 2.12488 0.0447805 153.633 72 9.459407 36.765561 14.394229 49.025880
71 2.12136 0.0374566 155.769 73 9.459407 36.620128 14.371326 48.880489
72 2.11749 0.0493719 157.896 74 9.359226 36.649215 14.378960 48.909567
73 2.11428 0.0410389 160.035 75 9.309136 36.242001 14.359875 48.676941
74 2.11047 0.0375947 162.159 76 9.232073 36.125654 14.466753 48.618785
75 2.10586 0.0847052 164.296 77 9.043271 35.369401 14.371326 48.618785
76 2.10234 0.0529195 166.424 78 9.008592 35.427574 14.447668 48.967723
77 2.10055 0.0261745 168.558 79 8.966208 35.340314 14.436217 48.880489
78 2.09892 0.0246182 170.682 80 8.973914 35.514834 14.413314 48.764176
79 2.09586 0.0572502 172.806 81 9.000886 35.514834 14.443851 48.822332
80 2.09259 0.0475911 174.915 82 8.962355 35.398487 14.482022 49.142192
81 2.08974 0.0282412 177.031 83 8.939236 35.282141 14.474387 49.054958
82 2.08664 0.0257726 179.141 84 8.877586 35.165794 14.443851 48.938645
83 2.08498 0.0447508 181.253 85 8.927677 34.991274 14.340789 48.735097
84 2.08279 0.0263481 183.365 86 8.869880 35.020361 14.344606 48.793254
85 2.07945 0.0266356 185.478 87 8.819790 34.933101 14.398046 48.880489
86 2.07713 0.0434761 187.609 88 8.896852 35.136707 14.390411 48.851410
87 2.07473 0.0289939 189.78 89 8.785112 34.787667 14.291167 48.502472
88 2.07291 0.0258705 191.888 90 8.808230 34.787667 14.310253 48.735097
89 2.07077 0.0427725 193.997 91 8.673371 34.438627 14.317887 48.589706
90 2.06925 0.0354446 196.105 92 8.684930 34.525887 14.378960 48.851410
91 2.06808 0.0251868 198.216 93 8.746580 34.642234 14.394229 48.967723
92 2.0661 0.0216317 200.326 94 8.735021 34.525887 14.375143 48.880489
93 2.06551 0.0489885 202.44 95 8.750433 34.351367 14.356058 48.909567
94 2.06441 0.0255592 204.549 96 8.758140 34.380454 14.386594 48.967723
95 2.06298 0.0182103 206.679 97 8.781258 34.438627 14.336972 48.706019
96 2.06202 0.0217985 208.815 98 8.731168 34.351367 14.329338 48.531550
97 2.06037 0.0333357 210.949 99 8.727315 34.496800 14.325521 48.618785
98 2.05968 0.0588316 213.111 100 8.684930 34.380454 14.268265 48.444315
99 2.05821 0.0167767 215.242 101 8.700343 34.554974 14.264448 48.444315
100 2.05767 0.0159546 217.376 102 8.700343 34.467714 14.287350 48.531550
101 2.05672 0.0207969 219.497 103 8.731168 34.496800 14.298801 48.589706
102 2.05563 0.0403846 221.626 104 8.708049 34.525887 14.272082 48.531550
103 2.05437 0.0207257 223.763 105 8.723462 34.700407 14.241545 48.415237
104 2.05365 0.0137295 225.904 106 8.684930 34.700407 14.222460 48.473393
105 2.05287 0.0167383 228.043 107 8.665665 34.729494 14.245362 48.444315
106 2.05227 0.035529 230.184 108 8.773552 34.758581 14.302619 48.386159
107 2.05146 0.0184062 232.329 109 8.738874 34.671321 14.317887 48.473393
108 2.05053 0.0144711 234.467 110 8.704196 34.642234 14.298801 48.415237
109 2.04992 0.0162532 236.606 111 8.723462 34.671321 14.260631 48.444315
110 2.04935 0.0509727 238.746 112 8.684930 34.525887 14.191923 48.269846
111 2.04791 0.0162375 240.885 113 8.708049 34.758581 14.172838 48.328002
112 2.04741 0.0114907 243.027 114 8.708049 34.700407 14.176655 48.269846
113 2.04685 0.0173626 245.16 115 8.719609 34.787667 14.169021 48.298924
114 2.04652 0.0381953 247.29 116 8.738874 34.729494 14.207191 48.298924
115 2.0459 0.015838 249.425 117 8.700343 34.613147 14.149935 48.211689
116 2.04535 0.0128249 251.56 118 8.692637 34.584061 14.153752 48.240768
117 2.04487 0.0159799 253.697 119 8.723462 34.554974 14.172838 48.298924
118 2.04418 0.0262045 255.838 120 8.723462 34.409540 14.127033 48.240768
119 2.04353 0.018262 257.975 121 8.735021 34.496800 14.115581 48.211689
120 2.04318 0.0100238 260.111 122 8.742727 34.584061 14.153752 48.124455
121 2.04268 0.013376 262.252 123 8.719609 34.525887 14.218643 48.298924
122 2.04226 0.0158114 264.369 124 8.715755 34.525887 14.214826 48.415237
123 2.04174 0.0145469 266.51 125 8.673371 34.322280 14.169021 48.444315
